Flag;Absolute Time;Relative Time;Accumulated Distance (km);Speed (km/h);
48179;17/05/2016 14:36:37.80;+4h 34mn 17s 90;87.571;21;
48181;17/05/2016 14:36:38.44;+4h 34mn 18s 54;87.575;22;
48183;17/05/2016 14:36:39.12;+4h 34mn 19s 22;87.580;23;
48184;17/05/2016 14:36:39.74;+4h 34mn 19s 84;87.584;24;
48187;17/05/2016 14:36:40.44;+4h 34mn 20s 54;87.588;25;
48194;17/05/2016 14:36:44.91;+4h 34mn 25s 01;87.619;24;
48200;17/05/2016 14:36:50.61;+4h 34mn 30s 71;87.656;23;
48213;17/05/2016 14:37:01.14;+4h 34mn 41s 24;87.723;22.5;
48216;17/05/2016 14:37:01.46;+4h 34mn 41s 56;87.724;22.5;
48218;17/05/2016 14:37:01.53;+4h 34mn 41s 63;87.725;22;
48227;17/05/2016 14:37:02.92;+4h 34mn 43s 02;87.733;21;
48234;17/05/2016 14:37:04.34;+4h 34mn 44s 44;87.741;20;
48235;17/05/2016 14:37:04.51;+4h 34mn 44s 61;87.742;20;
48236;17/05/2016 14:37:04.79;+4h 34mn 44s 89;87.744;20;
48240;17/05/2016 14:37:05.48;+4h 34mn 45s 58;87.748;19;
48245;17/05/2016 14:37:06.30;+4h 34mn 46s 40;87.752;18;
48252;17/05/2016 14:37:07.17;+4h 34mn 47s 27;87.756;17;
48253;17/05/2016 14:37:07.23;+4h 34mn 47s 33;87.756;17;
48257;17/05/2016 14:37:07.81;+4h 34mn 47s 91;87.759;16;
48261;17/05/2016 14:37:08.46;+4h 34mn 48s 56;87.762;15;
48266;17/05/2016 14:37:09.12;+4h 34mn 49s 22;87.764;14;
48270;17/05/2016 14:37:09.88;+4h 34mn 49s 98;87.767;13;
48275;17/05/2016 14:37:10.58;+4h 34mn 50s 68;87.770;12;
48279;17/05/2016 14:37:11.34;+4h 34mn 51s 44;87.772;11;
48281;17/05/2016 14:37:12.12;+4h 34mn 52s 22;87.774;10;
48282;17/05/2016 14:37:12.86;+4h 34mn 52s 96;87.776;9;
48285;17/05/2016 14:37:13.56;+4h 34mn 53s 66;87.778;8;
48288;17/05/2016 14:37:14.18;+4h 34mn 54s 28;87.779;7;
48291;17/05/2016 14:37:14.66;+4h 34mn 54s 76;87.780;6;
48294;17/05/2016 14:37:15.05;+4h 34mn 55s 15;87.781;5;
48299;17/05/2016 14:37:15.69;+4h 34mn 55s 79;87.782;4;
48302;17/05/2016 14:37:16.08;+4h 34mn 56s 18;87.782;3;
48305;17/05/2016 14:37:16.38;+4h 34mn 56s 48;87.782;2;
48309;17/05/2016 14:37:16.65;+4h 34mn 56s 75;87.782;2;
48311;17/05/2016 14:37:16.69;+4h 34mn 56s 79;87.782;2;
48312;17/05/2016 14:37:16.71;+4h 34mn 56s 81;87.782;2;
48313;17/05/2016 14:37:16.83;+4h 34mn 56s 93;87.782;2;
48316;17/05/2016 14:37:17.09;+4h 34mn 57s 19;87.782;2;
48325;17/05/2016 14:37:18.43;+4h 34mn 58s 53;87.783;1.5;
48327;17/05/2016 14:37:18.56;+4h 34mn 58s 66;87.783;1;
48328;17/05/2016 14:37:18.60;+4h 34mn 58s 70;87.783;0;
48335;17/05/2016 14:37:28.25;+4h 35mn 8s 35;87.783;0;
48338;17/05/2016 14:37:36.89;+4h 35mn 16s 99;87.783;0;
48341;17/05/2016 14:37:40.09;+4h 35mn 20s 19;87.783;0;
48342;17/05/2016 14:37:41.05;+4h 35mn 21s 15;87.783;0;
48350;17/05/2016 14:37:47.75;+4h 35mn 27s 85;87.783;0.5;
48351;17/05/2016 14:37:47.80;+4h 35mn 27s 90;87.783;1;
48354;17/05/2016 14:37:48.40;+4h 35mn 28s 50;87.783;2;
48357;17/05/2016 14:37:48.92;+4h 35mn 29s 02;87.784;3;
48360;17/05/2016 14:37:49.44;+4h 35mn 29s 54;87.784;4;
48364;17/05/2016 14:37:49.78;+4h 35mn 29s 88;87.785;4.5;
48365;17/05/2016 14:37:49.80;+4h 35mn 29s 90;87.785;4.5;
48366;17/05/2016 14:37:49.82;+4h 35mn 29s 92;87.785;4.5;
48367;17/05/2016 14:37:49.96;+4h 35mn 30s 06;87.785;5;
48369;17/05/2016 14:37:50.52;+4h 35mn 30s 62;87.786;6;
48372;17/05/2016 14:37:51.04;+4h 35mn 31s 14;87.787;7;
48375;17/05/2016 14:37:51.54;+4h 35mn 31s 64;87.788;8;
48379;17/05/2016 14:37:52.02;+4h 35mn 32s 12;87.789;9;
48380;17/05/2016 14:37:52.48;+4h 35mn 32s 58;87.790;10;
48382;17/05/2016 14:37:52.93;+4h 35mn 33s 03;87.791;11;
48384;17/05/2016 14:37:53.36;+4h 35mn 33s 46;87.793;12;
48386;17/05/2016 14:37:53.83;+4h 35mn 33s 93;87.794;13;
48388;17/05/2016 14:37:54.22;+4h 35mn 34s 32;87.796;14;
48390;17/05/2016 14:37:54.62;+4h 35mn 34s 72;87.798;15;
48392;17/05/2016 14:37:55.06;+4h 35mn 35s 16;87.799;16;
48394;17/05/2016 14:37:55.51;+4h 35mn 35s 61;87.801;17;
48395;17/05/2016 14:37:55.90;+4h 35mn 36s 00;87.803;18;
48397;17/05/2016 14:37:56.30;+4h 35mn 36s 40;87.806;19;
48399;17/05/2016 14:37:56.72;+4h 35mn 36s 82;87.808;20;
48402;17/05/2016 14:37:57.12;+4h 35mn 37s 22;87.810;21;
48404;17/05/2016 14:37:57.58;+4h 35mn 37s 68;87.813;22;
48406;17/05/2016 14:37:57.97;+4h 35mn 38s 07;87.815;23;
48408;17/05/2016 14:37:58.36;+4h 35mn 38s 46;87.818;24;
48410;17/05/2016 14:37:58.76;+4h 35mn 38s 86;87.821;25;
48412;17/05/2016 14:37:59.18;+4h 35mn 39s 28;87.824;26;
48413;17/05/2016 14:37:59.56;+4h 35mn 39s 66;87.826;27;
48416;17/05/2016 14:37:59.98;+4h 35mn 40s 08;87.830;28;
48418;17/05/2016 14:38:00.42;+4h 35mn 40s 52;87.833;29;
48420;17/05/2016 14:38:00.82;+4h 35mn 40s 92;87.836;30;
48422;17/05/2016 14:38:01.20;+4h 35mn 41s 30;87.840;31;
48424;17/05/2016 14:38:01.66;+4h 35mn 41s 76;87.844;32;
48429;17/05/2016 14:38:02.10;+4h 35mn 42s 20;87.847;33;
48432;17/05/2016 14:38:02.62;+4h 35mn 42s 72;87.852;34;
48437;17/05/2016 14:38:03.30;+4h 35mn 43s 40;87.859;35;
48449;17/05/2016 14:38:14.96;+4h 35mn 55s 06;87.971;34;
48454;17/05/2016 14:38:18.06;+4h 35mn 58s 16;88.000;34.5;
48455;17/05/2016 14:38:18.09;+4h 35mn 58s 19;88.000;35;
48461;17/05/2016 14:38:20.17;+4h 36mn 0s 27;88.021;36;
48465;17/05/2016 14:38:23.40;+4h 36mn 3s 50;88.053;36;
48468;17/05/2016 14:38:23.76;+4h 36mn 3s 86;88.057;35.5;
48469;17/05/2016 14:38:23.87;+4h 36mn 3s 97;88.058;35;
48476;17/05/2016 14:38:25.03;+4h 36mn 5s 13;88.069;34;
48481;17/05/2016 14:38:28.26;+4h 36mn 8s 36;88.099;34;
48489;17/05/2016 14:38:32.12;+4h 36mn 12s 22;88.135;33;
48490;17/05/2016 14:38:32.15;+4h 36mn 12s 25;88.135;33;
48492;17/05/2016 14:38:32.24;+4h 36mn 12s 34;88.136;33;
48496;17/05/2016 14:38:32.54;+4h 36mn 12s 64;88.139;32;
48499;17/05/2016 14:38:32.81;+4h 36mn 12s 91;88.141;31;
48501;17/05/2016 14:38:33.02;+4h 36mn 13s 12;88.143;30;
48504;17/05/2016 14:38:33.28;+4h 36mn 13s 38;88.145;29;
48505;17/05/2016 14:38:33.49;+4h 36mn 13s 59;88.147;28;
48508;17/05/2016 14:38:33.72;+4h 36mn 13s 82;88.149;27;
48512;17/05/2016 14:38:33.93;+4h 36mn 14s 03;88.150;26;
48513;17/05/2016 14:38:34.03;+4h 36mn 14s 13;88.151;26;
48514;17/05/2016 14:38:34.18;+4h 36mn 14s 28;88.152;25;
48515;17/05/2016 14:38:34.36;+4h 36mn 14s 46;88.153;24;
48516;17/05/2016 14:38:34.57;+4h 36mn 14s 67;88.154;23;
48518;17/05/2016 14:38:34.76;+4h 36mn 14s 86;88.156;22;
48519;17/05/2016 14:38:34.96;+4h 36mn 15s 06;88.157;21;
48520;17/05/2016 14:38:35.17;+4h 36mn 15s 27;88.158;20;
48522;17/05/2016 14:38:35.36;+4h 36mn 15s 46;88.159;19;
48524;17/05/2016 14:38:35.80;+4h 36mn 15s 90;88.161;18;
48527;17/05/2016 14:38:35.96;+4h 36mn 16s 06;88.162;18;
48538;17/05/2016 14:38:37.33;+4h 36mn 17s 43;88.169;19;
48540;17/05/2016 14:38:37.76;+4h 36mn 17s 86;88.171;20;
48542;17/05/2016 14:38:38.20;+4h 36mn 18s 30;88.174;21;
48545;17/05/2016 14:38:38.72;+4h 36mn 18s 82;88.177;22;
48553;17/05/2016 14:38:40.54;+4h 36mn 20s 64;88.188;23;
48555;17/05/2016 14:38:41.94;+4h 36mn 22s 04;88.197;24;
48558;17/05/2016 14:38:43.24;+4h 36mn 23s 34;88.206;25;
48560;17/05/2016 14:38:44.41;+4h 36mn 24s 51;88.215;26;
48562;17/05/2016 14:38:45.36;+4h 36mn 25s 46;88.222;27;
48567;17/05/2016 14:38:46.09;+4h 36mn 26s 19;88.227;27;
48569;17/05/2016 14:38:46.37;+4h 36mn 26s 47;88.229;27;
48582;17/05/2016 14:38:51.90;+4h 36mn 32s 00;88.271;28;
48585;17/05/2016 14:38:52.65;+4h 36mn 32s 75;88.277;28;
48587;17/05/2016 14:38:52.93;+4h 36mn 33s 03;88.279;28;
48605;17/05/2016 14:39:04.62;+4h 36mn 44s 72;88.370;27;
48608;17/05/2016 14:39:06.25;+4h 36mn 46s 35;88.382;26;
48610;17/05/2016 14:39:06.81;+4h 36mn 46s 91;88.386;25.5;
48612;17/05/2016 14:39:07.05;+4h 36mn 47s 15;88.387;25.5;
48613;17/05/2016 14:39:07.10;+4h 36mn 47s 20;88.388;25;
48620;17/05/2016 14:39:07.94;+4h 36mn 48s 04;88.394;24;
48624;17/05/2016 14:39:08.66;+4h 36mn 48s 76;88.398;23;
48626;17/05/2016 14:39:08.89;+4h 36mn 48s 99;88.400;23;
48629;17/05/2016 14:39:09.18;+4h 36mn 49s 28;88.401;22;
48631;17/05/2016 14:39:09.37;+4h 36mn 49s 47;88.403;22;
48634;17/05/2016 14:39:09.82;+4h 36mn 49s 92;88.405;21;
48640;17/05/2016 14:39:10.56;+4h 36mn 50s 66;88.410;20;
48641;17/05/2016 14:39:10.69;+4h 36mn 50s 79;88.410;20;
48646;17/05/2016 14:39:11.09;+4h 36mn 51s 19;88.412;19;
48649;17/05/2016 14:39:11.57;+4h 36mn 51s 67;88.415;18;
48652;17/05/2016 14:39:11.85;+4h 36mn 51s 95;88.416;18;
48656;17/05/2016 14:39:12.41;+4h 36mn 52s 51;88.419;17;
48660;17/05/2016 14:39:13.01;+4h 36mn 53s 11;88.422;16.5;
48662;17/05/2016 14:39:13.11;+4h 36mn 53s 21;88.422;16;
48665;17/05/2016 14:39:13.57;+4h 36mn 53s 67;88.424;15;
48669;17/05/2016 14:39:14.01;+4h 36mn 54s 11;88.426;14;
48673;17/05/2016 14:39:14.44;+4h 36mn 54s 54;88.428;13;
48677;17/05/2016 14:39:14.92;+4h 36mn 55s 02;88.429;12;
48680;17/05/2016 14:39:15.37;+4h 36mn 55s 47;88.431;11;
48684;17/05/2016 14:39:15.84;+4h 36mn 55s 94;88.432;10;
48688;17/05/2016 14:39:16.28;+4h 36mn 56s 38;88.433;9;
48691;17/05/2016 14:39:16.74;+4h 36mn 56s 84;88.434;8;
48694;17/05/2016 14:39:17.19;+4h 36mn 57s 29;88.435;7;
48698;17/05/2016 14:39:17.69;+4h 36mn 57s 79;88.436;6;
48703;17/05/2016 14:39:18.29;+4h 36mn 58s 39;88.437;5;
48706;17/05/2016 14:39:18.85;+4h 36mn 58s 95;88.438;4;
48708;17/05/2016 14:39:19.45;+4h 36mn 59s 55;88.438;3;
48710;17/05/2016 14:39:20.10;+4h 37mn 0s 20;88.439;2;
48714;17/05/2016 14:39:20.32;+4h 37mn 0s 42;88.439;2;
48715;17/05/2016 14:39:20.32;+4h 37mn 0s 42;88.439;2;
48716;17/05/2016 14:39:20.33;+4h 37mn 0s 43;88.439;2;
48718;17/05/2016 14:39:20.76;+4h 37mn 0s 86;88.439;1;
48722;17/05/2016 14:39:21.61;+4h 37mn 1s 71;88.439;1;
48725;17/05/2016 14:39:21.88;+4h 37mn 1s 98;88.439;1;
48729;17/05/2016 14:39:22.81;+4h 37mn 2s 91;88.439;0;
48731;17/05/2016 14:39:23.09;+4h 37mn 3s 19;88.439;0;
48735;17/05/2016 14:39:28.28;+4h 37mn 8s 38;88.439;0;
48737;17/05/2016 14:39:40.24;+4h 37mn 20s 34;88.439;0;
48738;17/05/2016 14:39:43.12;+4h 37mn 23s 22;88.439;0;
48739;17/05/2016 14:39:44.40;+4h 37mn 24s 50;88.439;0;
48747;17/05/2016 14:39:47.79;+4h 37mn 27s 89;88.439;1;
48748;17/05/2016 14:39:47.86;+4h 37mn 27s 96;88.439;1;
48751;17/05/2016 14:39:48.20;+4h 37mn 28s 30;88.440;2;
48753;17/05/2016 14:39:48.60;+4h 37mn 28s 70;88.440;3;
48756;17/05/2016 14:39:48.98;+4h 37mn 29s 08;88.440;4;
48760;17/05/2016 14:39:49.28;+4h 37mn 29s 38;88.441;4.5;
48761;17/05/2016 14:39:49.34;+4h 37mn 29s 44;88.441;4.5;
48762;17/05/2016 14:39:49.36;+4h 37mn 29s 46;88.441;4.5;
48763;17/05/2016 14:39:49.36;+4h 37mn 29s 46;88.441;5;
48765;17/05/2016 14:39:49.74;+4h 37mn 29s 84;88.441;6;
48768;17/05/2016 14:39:50.14;+4h 37mn 30s 24;88.442;7;
48770;17/05/2016 14:39:50.51;+4h 37mn 30s 61;88.443;8;
48775;17/05/2016 14:39:50.89;+4h 37mn 30s 99;88.444;9;
48776;17/05/2016 14:39:51.16;+4h 37mn 31s 26;88.444;10;
48779;17/05/2016 14:39:51.48;+4h 37mn 31s 58;88.445;11;
48781;17/05/2016 14:39:51.79;+4h 37mn 31s 89;88.446;12;
48784;17/05/2016 14:39:52.05;+4h 37mn 32s 15;88.447;13;
48786;17/05/2016 14:39:52.32;+4h 37mn 32s 42;88.448;14;
48787;17/05/2016 14:39:52.58;+4h 37mn 32s 68;88.449;15;
48788;17/05/2016 14:39:52.84;+4h 37mn 32s 94;88.450;16;
48791;17/05/2016 14:39:53.12;+4h 37mn 33s 22;88.452;17;
48794;17/05/2016 14:39:53.39;+4h 37mn 33s 49;88.453;18;
48797;17/05/2016 14:39:53.65;+4h 37mn 33s 75;88.454;19;
48800;17/05/2016 14:39:53.91;+4h 37mn 34s 01;88.456;20;
48802;17/05/2016 14:39:54.15;+4h 37mn 34s 25;88.457;21;
48803;17/05/2016 14:39:54.39;+4h 37mn 34s 49;88.459;22;
48805;17/05/2016 14:39:54.64;+4h 37mn 34s 74;88.460;23;
48806;17/05/2016 14:39:54.90;+4h 37mn 35s 00;88.462;24;
48808;17/05/2016 14:39:55.16;+4h 37mn 35s 26;88.464;25;
48811;17/05/2016 14:39:55.41;+4h 37mn 35s 51;88.465;26;
48813;17/05/2016 14:39:55.62;+4h 37mn 35s 72;88.467;27;
48815;17/05/2016 14:39:55.86;+4h 37mn 35s 96;88.469;28;
48816;17/05/2016 14:39:56.10;+4h 37mn 36s 20;88.471;29;
48817;17/05/2016 14:39:56.32;+4h 37mn 36s 42;88.472;30;
48820;17/05/2016 14:39:56.59;+4h 37mn 36s 69;88.475;31;
48821;17/05/2016 14:39:56.84;+4h 37mn 36s 94;88.477;32;
48822;17/05/2016 14:39:57.10;+4h 37mn 37s 20;88.479;33;
48826;17/05/2016 14:39:57.36;+4h 37mn 37s 46;88.482;34;
48827;17/05/2016 14:39:57.62;+4h 37mn 37s 72;88.484;35;
48831;17/05/2016 14:39:57.90;+4h 37mn 38s 00;88.487;36;
48833;17/05/2016 14:39:58.17;+4h 37mn 38s 27;88.490;37;
48836;17/05/2016 14:39:58.47;+4h 37mn 38s 57;88.493;38;
48839;17/05/2016 14:39:58.79;+4h 37mn 38s 89;88.496;39;
48841;17/05/2016 14:39:59.08;+4h 37mn 39s 18;88.499;40;
48843;17/05/2016 14:39:59.36;+4h 37mn 39s 46;88.503;41;
48847;17/05/2016 14:39:59.69;+4h 37mn 39s 79;88.506;42;
48848;17/05/2016 14:39:59.95;+4h 37mn 40s 05;88.509;43;
48849;17/05/2016 14:40:00.21;+4h 37mn 40s 31;88.513;44;
48850;17/05/2016 14:40:00.49;+4h 37mn 40s 59;88.516;45;
48854;17/05/2016 14:40:00.79;+4h 37mn 40s 89;88.520;46;
48857;17/05/2016 14:40:01.12;+4h 37mn 41s 22;88.524;47;
48863;17/05/2016 14:40:01.81;+4h 37mn 41s 91;88.533;48;
48870;17/05/2016 14:40:03.90;+4h 37mn 44s 00;88.561;49;
48872;17/05/2016 14:40:06.18;+4h 37mn 46s 28;88.593;50;
48874;17/05/2016 14:40:08.40;+4h 37mn 48s 50;88.624;51;
48877;17/05/2016 14:40:10.57;+4h 37mn 50s 67;88.655;52;
48883;17/05/2016 14:40:12.62;+4h 37mn 52s 72;88.684;52.5;
48885;17/05/2016 14:40:12.86;+4h 37mn 52s 96;88.688;52.5;
48899;17/05/2016 14:40:18.66;+4h 37mn 58s 76;88.772;52.5;
48901;17/05/2016 14:40:18.94;+4h 37mn 59s 04;88.776;52.5;
48913;17/05/2016 14:40:25.14;+4h 38mn 5s 24;88.866;52.5;
48915;17/05/2016 14:40:25.42;+4h 38mn 5s 52;88.870;52;
48918;17/05/2016 14:40:25.96;+4h 38mn 6s 06;88.878;51;
48922;17/05/2016 14:40:26.61;+4h 38mn 6s 71;88.887;50;
48927;17/05/2016 14:40:27.28;+4h 38mn 7s 38;88.897;49;
48933;17/05/2016 14:40:28.29;+4h 38mn 8s 39;88.910;48.5;
48940;17/05/2016 14:40:30.10;+4h 38mn 10s 20;88.934;48;
48942;17/05/2016 14:40:30.35;+4h 38mn 10s 45;88.937;48;
48945;17/05/2016 14:40:30.67;+4h 38mn 10s 77;88.942;47.5;
48947;17/05/2016 14:40:30.77;+4h 38mn 10s 87;88.943;47;
48954;17/05/2016 14:40:31.75;+4h 38mn 11s 85;88.956;46.5;
48957;17/05/2016 14:40:31.98;+4h 38mn 12s 08;88.959;46;
48961;17/05/2016 14:40:32.57;+4h 38mn 12s 67;88.966;45;
48965;17/05/2016 14:40:33.15;+4h 38mn 13s 25;88.973;44;
48971;17/05/2016 14:40:33.89;+4h 38mn 13s 99;88.982;43;
48976;17/05/2016 14:40:34.40;+4h 38mn 14s 50;88.988;42;
48980;17/05/2016 14:40:34.82;+4h 38mn 14s 92;88.993;41;
48982;17/05/2016 14:40:35.18;+4h 38mn 15s 28;88.997;40;
48985;17/05/2016 14:40:35.43;+4h 38mn 15s 53;89.000;39.5;
48986;17/05/2016 14:40:35.54;+4h 38mn 15s 64;89.001;39;
48989;17/05/2016 14:40:35.86;+4h 38mn 15s 96;89.005;38;
48991;17/05/2016 14:40:36.19;+4h 38mn 16s 29;89.008;37;
48994;17/05/2016 14:40:36.52;+4h 38mn 16s 62;89.011;36;
48997;17/05/2016 14:40:36.86;+4h 38mn 16s 96;89.015;35;
49000;17/05/2016 14:40:37.24;+4h 38mn 17s 34;89.018;34;
49006;17/05/2016 14:40:37.92;+4h 38mn 18s 02;89.025;33;
49012;17/05/2016 14:40:38.51;+4h 38mn 18s 61;89.030;33;
49020;17/05/2016 14:40:39.75;+4h 38mn 19s 85;89.041;33;
49022;17/05/2016 14:40:40.10;+4h 38mn 20s 20;89.045;32;
49023;17/05/2016 14:40:40.19;+4h 38mn 20s 29;89.045;32;
49027;17/05/2016 14:40:40.50;+4h 38mn 20s 60;89.048;31;
49029;17/05/2016 14:40:40.97;+4h 38mn 21s 07;89.052;30;
49032;17/05/2016 14:40:41.42;+4h 38mn 21s 52;89.056;29;
49038;17/05/2016 14:40:42.13;+4h 38mn 22s 23;89.061;28;
49041;17/05/2016 14:40:42.72;+4h 38mn 22s 82;89.066;27;
49043;17/05/2016 14:40:43.42;+4h 38mn 23s 52;89.071;26;
49048;17/05/2016 14:40:44.07;+4h 38mn 24s 17;89.076;25;
49051;17/05/2016 14:40:44.23;+4h 38mn 24s 33;89.077;25;
49054;17/05/2016 14:40:44.55;+4h 38mn 24s 65;89.079;24.5;
49055;17/05/2016 14:40:44.59;+4h 38mn 24s 69;89.079;24;
49059;17/05/2016 14:40:45.04;+4h 38mn 25s 14;89.082;23;
49064;17/05/2016 14:40:45.56;+4h 38mn 25s 66;89.085;22;
49067;17/05/2016 14:40:45.99;+4h 38mn 26s 09;89.088;21.5;
49068;17/05/2016 14:40:46.01;+4h 38mn 26s 11;89.088;21;
49071;17/05/2016 14:40:46.35;+4h 38mn 26s 45;89.090;20.5;
49073;17/05/2016 14:40:46.46;+4h 38mn 26s 56;89.091;20;
49077;17/05/2016 14:40:46.92;+4h 38mn 27s 02;89.093;19;
49081;17/05/2016 14:40:47.32;+4h 38mn 27s 42;89.095;18;
49085;17/05/2016 14:40:47.72;+4h 38mn 27s 82;89.097;17;
49087;17/05/2016 14:40:47.79;+4h 38mn 27s 89;89.097;17;
49089;17/05/2016 14:40:48.10;+4h 38mn 28s 20;89.099;16;
49092;17/05/2016 14:40:48.47;+4h 38mn 28s 57;89.100;15;
49096;17/05/2016 14:40:48.78;+4h 38mn 28s 88;89.102;14;
49099;17/05/2016 14:40:49.12;+4h 38mn 29s 22;89.103;13;
49102;17/05/2016 14:40:49.32;+4h 38mn 29s 42;89.104;12;
49105;17/05/2016 14:40:49.64;+4h 38mn 29s 74;89.105;11;
49108;17/05/2016 14:40:49.92;+4h 38mn 30s 02;89.106;10;
49111;17/05/2016 14:40:50.28;+4h 38mn 30s 38;89.106;9;
49114;17/05/2016 14:40:50.54;+4h 38mn 30s 64;89.107;8;
49118;17/05/2016 14:40:50.82;+4h 38mn 30s 92;89.108;7;
49122;17/05/2016 14:40:51.19;+4h 38mn 31s 29;89.108;6;
49125;17/05/2016 14:40:51.58;+4h 38mn 31s 68;89.109;5;
49131;17/05/2016 14:40:52.22;+4h 38mn 32s 32;89.110;4;
49133;17/05/2016 14:40:52.80;+4h 38mn 32s 90;89.110;3;
49138;17/05/2016 14:40:53.51;+4h 38mn 33s 61;89.111;3;
49147;17/05/2016 14:40:55.11;+4h 38mn 35s 21;89.112;3;
49151;17/05/2016 14:40:55.97;+4h 38mn 36s 07;89.113;2;
49155;17/05/2016 14:40:56.21;+4h 38mn 36s 31;89.113;1.5;
49156;17/05/2016 14:40:56.23;+4h 38mn 36s 33;89.113;1.5;
49158;17/05/2016 14:40:56.25;+4h 38mn 36s 35;89.113;1.5;
49161;17/05/2016 14:40:56.67;+4h 38mn 36s 77;89.113;1.5;
49163;17/05/2016 14:40:56.93;+4h 38mn 37s 03;89.113;1.5;
49168;17/05/2016 14:40:58.17;+4h 38mn 38s 27;89.113;1;
49169;17/05/2016 14:40:58.30;+4h 38mn 38s 40;89.113;0;
49170;17/05/2016 14:40:58.43;+4h 38mn 38s 53;89.113;0;
49179;17/05/2016 14:41:12.54;+4h 38mn 52s 64;89.113;0;
49180;17/05/2016 14:41:15.50;+4h 38mn 55s 60;89.113;0;
49181;17/05/2016 14:41:16.74;+4h 38mn 56s 84;89.113;0;
49189;17/05/2016 14:41:21.60;+4h 39mn 1s 70;89.113;0.5;
49190;17/05/2016 14:41:21.66;+4h 39mn 1s 76;89.114;1;
49193;17/05/2016 14:41:22.10;+4h 39mn 2s 20;89.114;2;
49195;17/05/2016 14:41:22.49;+4h 39mn 2s 59;89.114;3;
49198;17/05/2016 14:41:22.90;+4h 39mn 3s 00;89.114;4;
49202;17/05/2016 14:41:23.22;+4h 39mn 3s 32;89.115;4.5;
49203;17/05/2016 14:41:23.28;+4h 39mn 3s 38;89.115;4.5;
49204;17/05/2016 14:41:23.30;+4h 39mn 3s 40;89.115;4.5;
49205;17/05/2016 14:41:23.32;+4h 39mn 3s 42;89.115;5;
49208;17/05/2016 14:41:23.72;+4h 39mn 3s 82;89.116;6;
49210;17/05/2016 14:41:24.17;+4h 39mn 4s 27;89.116;7;
49212;17/05/2016 14:41:24.58;+4h 39mn 4s 68;89.117;8;
49214;17/05/2016 14:41:24.98;+4h 39mn 5s 08;89.118;9;
49217;17/05/2016 14:41:25.38;+4h 39mn 5s 48;89.119;10;
49220;17/05/2016 14:41:25.78;+4h 39mn 5s 88;89.120;11;
49223;17/05/2016 14:41:26.16;+4h 39mn 6s 26;89.122;12;
49226;17/05/2016 14:41:26.50;+4h 39mn 6s 60;89.123;13;
49229;17/05/2016 14:41:26.88;+4h 39mn 6s 98;89.124;14;
49232;17/05/2016 14:41:27.20;+4h 39mn 7s 30;89.125;15;
49234;17/05/2016 14:41:27.53;+4h 39mn 7s 63;89.127;16;
49236;17/05/2016 14:41:27.86;+4h 39mn 7s 96;89.128;17;
49237;17/05/2016 14:41:28.18;+4h 39mn 8s 28;89.130;18;
49239;17/05/2016 14:41:28.31;+4h 39mn 8s 41;89.131;18;
49241;17/05/2016 14:41:28.48;+4h 39mn 8s 58;89.131;19;
49243;17/05/2016 14:41:28.83;+4h 39mn 8s 93;89.133;20;
49245;17/05/2016 14:41:29.08;+4h 39mn 9s 18;89.135;21;
49246;17/05/2016 14:41:29.38;+4h 39mn 9s 48;89.137;22;
49247;17/05/2016 14:41:29.73;+4h 39mn 9s 83;89.139;23;
49249;17/05/2016 14:41:30.00;+4h 39mn 10s 10;89.141;24;
49252;17/05/2016 14:41:30.32;+4h 39mn 10s 42;89.143;25;
49253;17/05/2016 14:41:30.64;+4h 39mn 10s 74;89.145;26;
49254;17/05/2016 14:41:30.94;+4h 39mn 11s 04;89.147;27;
49256;17/05/2016 14:41:31.28;+4h 39mn 11s 38;89.150;28;
49259;17/05/2016 14:41:31.58;+4h 39mn 11s 68;89.152;29;
49261;17/05/2016 14:41:31.93;+4h 39mn 12s 03;89.155;30;
49263;17/05/2016 14:41:32.22;+4h 39mn 12s 32;89.158;31;
49266;17/05/2016 14:41:32.57;+4h 39mn 12s 67;89.161;32;
49270;17/05/2016 14:41:32.96;+4h 39mn 13s 06;89.164;33;
49282;17/05/2016 14:41:37.00;+4h 39mn 17s 10;89.202;34;
49284;17/05/2016 14:41:37.72;+4h 39mn 17s 82;89.208;34;
49286;17/05/2016 14:41:38.00;+4h 39mn 18s 10;89.211;34;
49294;17/05/2016 14:41:39.96;+4h 39mn 20s 06;89.230;35;
49296;17/05/2016 14:41:41.23;+4h 39mn 21s 33;89.242;36;
49301;17/05/2016 14:41:42.84;+4h 39mn 22s 94;89.259;36.5;
49305;17/05/2016 14:41:43.40;+4h 39mn 23s 50;89.264;36.5;
49330;17/05/2016 14:42:02.76;+4h 39mn 42s 86;89.456;35;
49334;17/05/2016 14:42:04.60;+4h 39mn 44s 70;89.474;35;
49336;17/05/2016 14:42:04.92;+4h 39mn 45s 02;89.477;34.5;
49341;17/05/2016 14:42:05.74;+4h 39mn 45s 84;89.485;34;
49354;17/05/2016 14:42:10.36;+4h 39mn 50s 46;89.528;33.5;
49356;17/05/2016 14:42:10.46;+4h 39mn 50s 56;89.529;33;
49358;17/05/2016 14:42:10.64;+4h 39mn 50s 74;89.531;32.5;
49360;17/05/2016 14:42:10.85;+4h 39mn 50s 95;89.533;32;
49364;17/05/2016 14:42:11.24;+4h 39mn 51s 34;89.536;31;
49366;17/05/2016 14:42:11.51;+4h 39mn 51s 61;89.539;30.5;
